void_fraction,surface_area_m2g,pld,lcd,surface_area_m2cm3
0.69,2215,6.2,7.9,1763
0.85,4856,11.4,14.1,2110
0.33,142,3.8,5.2,141
0.76,2128,15.9,17.2,1493
0.84,4669,9.7,19.8,1632
0.84,4447,10.3,20.8,1572
0.79,3476,6.3,15.0,1701
0.9,5836,12.8,26.3,1403
0.89,5503,12.3,24.9,1388
0.92,6323,13.8,27.2,1331
0.92,5850,13.9,26.6,1299
0.93,7220,14.8,27.7,1249
0.93,7378,14.8,28.3,1238
0.94,7940,15.7,30.6,1144
0.84,3622,23.6,25.9,1471
0.94,6918,17.0,32.7,1092
0.94,6440,17.5,32.7,1068
0.95,7680,18.0,34.8,1010
0.88,5623,9.9,20.8,1624
0.95,7924,18.1,34.7,1033
0.95,6918,19.8,35.7,925
0.95,6898,19.7,37.0,955
0.96,7162,20.5,38.3,900
0.95,7607,20.5,38.5,889
0.95,7336,21.0,39.5,865
0.84,3496,26.0,27.9,1386
0.95,6688,21.4,38.4,841
0.96,8900,20.8,38.5,841
0.96,7292,20.0,38.3,895
0.96,8370,21.3,41.3,833
0.89,5921,10.9,21.3,1598
0.96,7743,21.8,41.3,805
0.95,7763,19.0,36.5,976
0.96,8697,21.5,41.3,871
0.96,8433,21.4,42.4,850
0.96,8957,22.2,42.3,794
0.88,4462,24.0,26.4,1578
0.96,8366,23.1,43.1,767
0.96,7333,23.4,44.1,746
0.96,8537,22.6,42.9,757
0.96,8823,23.4,42.3,774
0.97,8240,24.6,44.6,703
0.9,6475,10.7,22.8,1586
0.96,8035,24.7,44.5,710
0.97,8478,25.4,46.3,687
0.97,7525,26.0,47.3,655
0.97,8297,28.2,51.6,606
0.88,4287,25.1,27.0,1608
0.97,7827,28.5,52.1,589
0.97,7157,28.6,50.5,578
0.98,9064,30.1,55.4,535
0.98,9406,29.3,54.3,558
0.91,5873,11.4,23.3,1454
0.9,5781,10.5,21.5,1595
0.91,5706,11.8,25.0,1439
0.89,5544,12.4,26.2,1375
0.89,5730,12.8,23.2,1499
0.89,5387,13.1,24.2,1435
0.9,5270,29.5,30.5,1481
0.85,4581,9.5,18.7,1598
0.92,6382,16.1,30.3,1170
0.92,6180,16.5,30.9,1157
0.94,6945,16.9,32.1,1118
0.94,6321,17.0,31.6,1081
0.94,7712,17.5,31.4,1061
0.94,7787,17.7,31.8,1054
0.95,8266,18.2,35.2,949
0.95,7396,19.9,36.8,949
0.95,6901,20.3,37.0,933
0.89,5129,28.3,30.0,1502
0.96,8179,21.0,38.6,871
0.9,6038,13.4,23.3,1391
0.96,8321,20.8,40.2,874
0.96,7346,22.3,40.8,813
0.96,7373,22.6,41.5,825
0.97,7605,23.7,43.1,782
0.96,7970,23.9,42.2,765
0.96,7744,24.5,42.6,749
0.96,7016,22.9,39.6,748
0.97,9131,23.6,41.1,722
0.92,5766,31.9,34.8,1352
0.96,7672,23.2,42.3,779
0.97,8686,25.6,47.0,682
0.92,6372,13.6,24.9,1319
0.97,8078,25.1,44.2,692
0.96,8270,22.3,41.5,859
0.96,8989,24.4,44.4,758
0.96,8831,24.1,45.4,741
0.97,9260,24.7,44.3,699
0.97,8595,26.4,45.1,668
